ntests,atleast,atmost,exactly
0,10000,9983,9983
1,17,9984,1
2,16,9986,2
3,14,9990,4
4,10,9992,2
5,8,9992,0
6,8,9993,1
7,7,9994,1
8,6,9994,0
9,6,9994,0
10,6,9994,0
11,6,9994,0
12,6,9994,0
13,6,9994,0
14,6,9994,0
15,6,9994,0
16,6,9994,0
17,6,9994,0
18,6,9994,0
19,6,9994,0
20,6,9994,0
21,6,9994,0
22,6,9994,0
23,6,9994,0
24,6,9994,0
25,6,9994,0
26,6,9994,0
27,6,9994,0
28,6,9994,0
29,6,9994,0
30,6,9994,0
31,6,9994,0
32,6,9994,0
33,6,9994,0
34,6,9994,0
35,6,9994,0
36,6,9994,0
37,6,9994,0
38,6,9994,0
39,6,9994,0
40,6,9994,0
41,6,9994,0
42,6,9994,0
43,6,9994,0
44,6,9994,0
45,6,9994,0
46,6,9994,0
47,6,9994,0
48,6,9994,0
49,6,9994,0
50,6,9994,0
51,6,9994,0
52,6,9994,0
53,6,9994,0
54,6,9994,0
55,6,9994,0
56,6,9994,0
57,6,9994,0
58,6,9994,0
59,6,9994,0
60,6,9994,0
61,6,9994,0
62,6,9994,0
63,6,9994,0
64,6,9994,0
65,6,9994,0
66,6,9994,0
67,6,9994,0
68,6,9994,0
69,6,9994,0
70,6,9994,0
71,6,9994,0
72,6,9994,0
73,6,9994,0
74,6,9994,0
75,6,9994,0
76,6,9994,0
77,6,9994,0
78,6,9994,0
79,6,9994,0
80,6,9994,0
81,6,9994,0
82,6,9994,0
83,6,9994,0
84,6,9994,0
85,6,9994,0
86,6,9994,0
87,6,9994,0
88,6,9994,0
89,6,9994,0
90,6,9994,0
91,6,9994,0
92,6,9994,0
93,6,9994,0
94,6,9994,0
95,6,9994,0
96,6,9994,0
97,6,9994,0
98,6,9994,0
99,6,9994,0
100,6,9994,0
101,6,9994,0
102,6,9994,0
103,6,9994,0
104,6,9994,0
105,6,9994,0
106,6,9994,0
107,6,9994,0
108,6,9994,0
109,6,9994,0
110,6,9994,0
111,6,9994,0
112,6,9994,0
113,6,9994,0
114,6,9994,0
115,6,9994,0
116,6,9994,0
117,6,9994,0
118,6,9994,0
119,6,9994,0
120,6,9994,0
121,6,9994,0
122,6,9994,0
123,6,9994,0
124,6,9994,0
125,6,9994,0
126,6,9994,0
127,6,9994,0
128,6,9994,0
129,6,9994,0
130,6,9994,0
131,6,9994,0
132,6,9994,0
133,6,9994,0
134,6,9994,0
135,6,9994,0
136,6,9994,0
137,6,9994,0
138,6,9994,0
139,6,9994,0
140,6,9994,0
141,6,9994,0
142,6,9994,0
143,6,9994,0
144,6,9994,0
145,6,9994,0
146,6,9994,0
147,6,9994,0
148,6,9994,0
149,6,9994,0
150,6,9994,0
151,6,9994,0
152,6,9994,0
153,6,9994,0
154,6,9994,0
155,6,9994,0
156,6,9994,0
157,6,9994,0
158,6,9994,0
159,6,9994,0
160,6,9994,0
161,6,9994,0
162,6,9994,0
163,6,9994,0
164,6,9994,0
165,6,9994,0
166,6,9994,0
167,6,9994,0
168,6,9994,0
169,6,9994,0
170,6,9994,0
171,6,9994,0
172,6,9994,0
173,6,9994,0
174,6,9994,0
175,6,9994,0
176,6,9994,0
177,6,9994,0
178,6,9994,0
179,6,9994,0
180,6,9994,0
181,6,9994,0
182,6,9994,0
183,6,9994,0
184,6,9994,0
185,6,9994,0
186,6,9994,0
187,6,9994,0
188,6,9994,0
189,6,9994,0
190,6,9994,0
191,6,9994,0
192,6,9994,0
193,6,9994,0
194,6,9994,0
195,6,9994,0
196,6,9994,0
197,6,9994,0
198,6,9994,0
199,6,9994,0
200,6,9994,0
201,6,9994,0
202,6,9994,0
203,6,9994,0
204,6,9994,0
205,6,9994,0
206,6,9994,0
207,6,9994,0
208,6,9994,0
209,6,9994,0
210,6,9994,0
211,6,9994,0
212,6,9994,0
213,6,9994,0
214,6,9994,0
215,6,9994,0
216,6,9994,0
217,6,9994,0
218,6,9994,0
219,6,9994,0
220,6,9994,0
221,6,9994,0
222,6,9994,0
223,6,9994,0
224,6,9994,0
225,6,9994,0
226,6,9994,0
227,6,9994,0
228,6,9994,0
229,6,9994,0
230,6,9994,0
231,6,9994,0
232,6,9994,0
233,6,9994,0
234,6,9994,0
235,6,9994,0
236,6,9994,0
237,6,9994,0
238,6,9994,0
239,6,9994,0
240,6,9994,0
241,6,9994,0
242,6,9994,0
243,6,9994,0
244,6,9994,0
245,6,9994,0
246,6,9994,0
247,6,9994,0
248,6,9994,0
249,6,9994,0
250,6,9994,0
251,6,9994,0
252,6,9994,0
253,6,9994,0
254,6,9994,0
255,6,9994,0
256,6,9994,0
257,6,9994,0
258,6,9994,0
259,6,9994,0
260,6,9994,0
261,6,9994,0
262,6,9994,0
263,6,9994,0
264,6,9994,0
265,6,9994,0
266,6,9994,0
267,6,9994,0
268,6,9994,0
269,6,9994,0
270,6,9994,0
271,6,9994,0
272,6,9994,0
273,6,9994,0
274,6,9994,0
275,6,9994,0
276,6,9994,0
277,6,9994,0
278,6,9994,0
279,6,9994,0
280,6,9994,0
281,6,9994,0
282,6,9994,0
283,6,9994,0
284,6,9994,0
285,6,9994,0
286,6,9994,0
287,6,9994,0
288,6,9994,0
289,6,9994,0
290,6,9994,0
291,6,9994,0
292,6,9994,0
293,6,9994,0
294,6,9994,0
295,6,9994,0
296,6,9994,0
297,6,9994,0
298,6,9994,0
299,6,9994,0
300,6,9994,0
301,6,9994,0
302,6,9994,0
303,6,9994,0
304,6,9994,0
305,6,9994,0
306,6,9994,0
307,6,9994,0
308,6,9994,0
309,6,9994,0
310,6,9994,0
311,6,9994,0
312,6,9994,0
313,6,9994,0
314,6,9994,0
315,6,9994,0
316,6,9994,0
317,6,9994,0
