mutant,killedbynt
4054,1
3635,1
8583,0
6127,0
522,1
1553,1
7953,2
3056,0
3275,0
8721,0
8053,1
81,0
3468,0
6353,0
3503,0
7627,2
2383,2
1221,0
2224,1
3598,0
8654,1
3645,1
6199,0
5773,0
1760,1
9009,0
5861,0
5426,2
5806,0
4198,4
4501,2
7734,1
9857,1
3277,0
9086,0
751,0
1513,0
4898,0
8702,2
4586,0
6485,0
9525,0
6062,0
249,0
1087,0
1757,1
9348,0
267,0
454,2
3849,0
7166,0
1479,0
2138,0
2151,0
6443,0
7794,0
3517,1
6523,0
9310,0
549,0
3260,1
9603,0
337,2
7867,0
3828,0
3636,0
9032,0
7274,0
627,0
3445,0
7606,0
1212,1
1254,0
1863,1
5761,2
7642,0
243,1
3871,1
183,1
4318,0
4006,0
7806,0
23,1
816,0
3274,1
8173,0
9236,0
7120,2
62,0
3793,0
6761,0
9057,0
3395,1
8576,0
8776,2
9548,1
685,1
4287,0
6922,2
4043,0
3867,0
9756,1
5392,0
8851,1
214,1
8562,0
3887,0
8838,1
7304,0
9112,1
3644,1
7634,1
7303,0
6151,0
1915,0
7268,1
9792,0
3873,2
6745,0
9314,0
387,0
4138,0
3081,0
1660,1
2256,0
9616,3
5636,1
5707,0
8263,1
1383,2
5714,1
4065,0
7780,0
4042,0
9136,0
9624,0
4804,0
3134,0
6043,0
98,0
1541,0
6148,0
5074,0
8067,0
6282,0
56,0
9915,0
6909,0
6115,0
4927,1
518,0
754,0
7100,0
2761,1
3533,0
5039,1
3336,1
1409,0
3301,0
1449,1
3811,0
8041,0
3359,0
4643,0
2505,0
9229,1
3424,0
5482,0
7401,0
4380,0
6807,1
6988,1
8435,0
3744,0
5461,0
2463,0
7891,1
7029,1
1580,1
6920,1
4161,2
8679,0
372,1
4593,1
6266,0
1832,0
873,2
5866,1
7520,1
8844,1
2551,1
9129,0
9039,0
6338,2
7010,1
1505,1
7987,4
2157,2
5528,0
6427,0
8220,0
7638,0
7369,0
9391,0
5715,0
7188,0
4454,0
8938,0
8212,0
3030,0
7798,1
7310,0
9808,3
2398,1
8754,0
9099,1
4733,1
7487,1
1161,0
5332,0
64,1
8209,0
7720,1
8003,2
1110,0
3940,0
4289,1
6955,1
1293,0
4475,3
5087,1
7345,0
2759,1
3983,1
5278,0
4273,0
4797,1
5963,0
3941,1
3673,0
1534,1
4344,0
3721,1
3343,0
860,0
516,1
3604,0
6332,0
693,0
9663,0
5764,0
6632,1
9048,2
7600,1
5069,0
3600,0
6116,0
2745,2
2978,0
8078,0
4900,0
