mutant,killedbynt
3169,26840
3192,34934
6652,25751
8042,14368
3389,36190
5105,11568
7242,9426
4873,31376
1506,18356
7974,29156
6252,25275
7936,14582
3538,5974
7144,17706
9880,26169
4192,19132
6721,33833
4370,21295
209,27499
2194,1443
3614,29007
5631,24600
9808,33262
5957,11770
5492,23508
4150,5263
5378,20252
269,36525
6867,16572
5112,3396
7918,9557
2167,28855
2061,19728
6209,2462
3378,33570
8387,26804
5268,29865
5424,12052
6138,32771
8845,15992
9852,6756
6325,35698
8174,5308
3457,29062
5970,15563
1365,36056
7270,24275
8855,26040
8646,13651
380,16196
5907,27071
7338,22386
1821,36071
3698,32310
5749,23980
1604,34418
5137,26762
1642,10768
6695,36359
6264,29178
1605,5343
794,24468
8229,9924
1757,27192
7186,34420
526,1015
7232,32517
5778,11362
2000,19316
2375,16695
8981,5751
1424,24260
816,10818
2004,33181
2286,30108
5309,34671
858,7234
28,9407
9857,32794
3920,18782
8322,8992
9956,31624
7965,32158
2055,1954
1688,10732
3112,12305
1494,29161
3221,22208
4693,22538
4054,9080
1492,32696
8380,26347
9478,28454
8842,31847
4841,11842
565,20511
6873,25361
1251,9371
6945,11000
4922,34722
8349,19102
4436,32789
361,8396
7841,31153
5943,17283
7075,32231
4183,10847
4530,31595
3306,16124
5836,34627
7827,499
3687,16788
7000,36078
874,34584
637,24881
112,21670
9887,19407
9525,19476
9894,29528
2409,31742
9365,19930
1638,32867
7194,35681
5282,31881
9781,30293
4081,33636
8987,25917
8482,30145
5871,13900
1168,11006
2272,18776
4084,24466
6485,29727
4421,20108
2845,23300
3679,33981
1448,12622
6543,24425
1964,11876
5932,33487
7909,8049
2766,21096
1863,9425
4200,5385
4553,21490
4687,33488
5723,24376
1958,10846
3241,25410
3743,34015
5260,30240
8382,2039
3519,3485
2628,35172
7337,7505
7099,19572
5476,5248
9076,14517
8556,23577
4756,16433
4392,12589
1874,2028
8784,18030
812,8463
4407,21806
3414,2940
5772,8585
5906,12852
8597,32018
7812,513
6568,17673
9513,27996
558,30878
5976,30673
4410,13594
4605,4789
2025,20096
5666,29561
5389,3389
72,30651
8423,31235
8643,37238
7197,13312
1051,24765
6808,16515
3500,1981
7436,16836
7712,9721
3856,12077
2088,20851
5205,33977
6854,8933
2577,25069
802,16799
4241,17726
1777,24710
3504,11974
4108,34801
8351,34189
5904,10770
8250,2076
9222,11093
849,6560
5650,14124
2410,16287
7305,15209
3595,3347
9299,26692
389,24103
2116,31824
6015,19095
2671,28530
5206,8089
701,4824
6275,29478
1913,15257
8397,7594
5573,29871
4038,25655
6332,35815
7860,30040
7987,35133
4713,35703
9917,36653
3724,3999
3212,14129
5777,4003
6937,3453
2522,8057
921,17142
3650,30709
9037,21850
9151,18033
7825,17993
3464,15770
6127,30092
7607,10285
4289,21379
8878,30791
2316,22022
1837,31273
4116,17325
2254,35960
9493,7594
9216,29413
1394,27785
8620,19027
1953,2017
6114,5295
1277,28169
3330,34526
3450,11024
6418,4787
3162,28920
4569,20188
9155,27589
9239,27434
7234,11623
2191,28456
306,33580
3132,3427
5945,15694
6815,16439
9909,5364
1699,15893
4279,4399
590,32562
6701,13524
2436,21750
3990,26123
3179,10234
287,34548
1056,31833
5158,20515
552,24779
6051,26437
5241,24993
1296,15943
9187,35250
1723,36062
9262,22971
8929,9515
4021,24735
5754,17210
3986,20288
9866,13364
5548,13719
6184,2936
1523,7063
5987,31789
8281,29272
2154,1457
2443,9999
747,26495
8737,12104
9129,14947
3412,24140
5747,2319
8666,25946
754,8799
951,21807
1790,11798
4629,4367
7977,31246
9009,36497
1122,17280
8662,26481
693,8161
7873,31058
3380,5270
884,32321
2734,4330
2698,32860
9303,3481
385,4415
452,25910
1354,29058
4924,6327
9011,1510
9741,25835
2762,3878
9770,11899
3747,10932
8365,11580
6433,2539
5093,12709
8253,9500
8640,20043
8356,3850
2652,25730
8836,25107
599,37115
4700,34938
1332,2973
2193,11907
9886,30895
3726,15619
5085,29531
7226,10287
8117,15838
763,26676
4251,22803
1091,27904
5530,29255
9128,26566
2958,34010
3373,19333
3428,34641
9972,28810
9006,33082
1780,33402
6169,17224
6305,14969
8170,34831
3877,24505
6880,31469
629,24448
9949,19713
6199,35460
1462,36753
2587,28163
6028,4411
4416,27580
834,5777
5189,35234
7091,35259
5910,31378
5393,12418
6514,21256
4102,32327
7446,10742
195,21094
1698,19434
307,13144
2288,34673
5369,29619
9964,17788
5608,10720
9285,11636
9626,35773
1280,33917
3202,33219
5482,22742
360,26472
6170,34071
3660,33636
6371,16247
9482,17257
3254,5267
4716,30598
216,25054
1957,34490
3675,19444
3831,3465
9119,22937
1274,17177
6096,2430
8283,4898
2041,12748
9695,7131
2244,26806
4176,4286
3984,27037
7806,19216
2383,2953
2685,25576
6093,5775
7191,23875
5385,24722
6386,27848
9047,36483
8621,16201
3629,31020
8098,4344
5087,10741
4611,2542
7273,31349
4412,33000
8703,16130
288,29161
3160,31983
5731,31980
4886,30542
727,9945
1552,33198
9472,13711
4814,10636
2449,24572
2580,3355
7876,32139
6544,13483
8991,36480
8418,2503
3177,12902
522,15370
5023,19701
4918,33735
1503,1010
4406,10971
6567,33887
2526,7144
3340,29352
8216,15246
1399,11289
680,27874
6917,14937
6,27889
3776,24883
7408,36590
5271,31343
7585,12800
4167,35828
151,1571
4830,33715
846,6671
7132,36174
1838,3915
5549,25814
1440,513
1576,12782
5959,11093
542,18620
6866,31197
1347,16623
365,32953
8061,16504
3304,36405
9792,35369
9926,32696
4015,7905
5669,30312
7557,34830
7999,13756
4129,33264
4534,11562
2448,15318
3532,34858
362,15971
7433,19561
5850,32274
543,25864
221,26093
6071,22318
1134,17329
9882,12517
7748,7686
3658,29046
4349,33164
8259,1453
9296,33937
6223,5304
2756,9875
5863,18400
2023,14348
3721,20073
3585,8617
6788,30212
7753,13179
146,36901
9672,33272
6699,19717
2353,22765
3672,35612
1562,36257
6663,22924
9962,35731
6951,26877
421,23900
7151,32096
1536,34485
6582,26692
9152,32233
1843,12014
7389,17194
854,6795
6680,22931
2530,35090
7971,18524
2115,32286
3364,31512
3705,6285
8648,6199
5776,36684
8102,36841
8629,24899
4180,513
9603,28672
6877,511
256,16980
3381,16276
5234,9262
3736,18864
4271,6738
5272,10064
1851,18420
8906,34484
7823,30935
7347,21642
7586,6274
5983,36198
2022,34731
9380,6376
9815,14755
458,34268
546,36527
5041,7794
8886,36700
7913,3911
9899,30025
5478,9305
6131,9821
9778,21456
3460,35679
729,26394
3224,22286
1471,27648
4212,6667
6548,32097
1711,20781
4600,16375
5195,27760
9581,519
7880,16505
4120,36007
6835,36888
8394,19494
8896,2939
5483,1493
7064,27454
8626,34953
6412,10362
2795,25218
5834,9072
4673,10529
6728,1433
2569,29126
1108,5262
3640,9833
6482,25765
8273,26851
3659,18752
3748,25892
5371,29219
4224,503
7238,18729
7956,34845
6726,26708
6698,17980
3255,516
8148,11987
2264,25722
202,5730
4601,32209
717,14394
6366,33447
2626,1010
7668,26218
4227,21576
6757,15243
993,27723
4010,27084
5076,6831
8861,5789
3575,12369
2260,12096
6589,29866
1886,13255
683,14430
4106,23115
7155,17068
5131,23646
1502,11439
8372,25045
255,28580
7342,21075
8456,36825
8306,17649
4140,18348
9502,20411
5450,8006
6314,26965
9832,25541
2561,16430
8461,30187
4385,12795
9483,11832
2990,14706
4263,30334
6952,11518
7729,23352
9020,7221
1676,29659
7636,16493
5993,13336
7868,14584
3634,1505
333,33347
5463,31252
6527,17630
13,8155
7173,1983
7774,20057
8171,9495
8323,35266
7961,29637
6247,10245
399,13640
7782,3419
4828,16868
847,19368
7293,28775
9728,14139
4419,33857
1106,29435
6528,36491
6787,2580
5388,3408
7426,16995
1808,4725
4024,36807
94,1432
8565,32753
7895,21759
1592,24942
6933,22177
5161,20785
6069,34556
1463,2000
1859,21690
9438,25919
9681,30507
7304,22180
9012,32102
1111,26833
3941,32320
7870,25601
4482,36962
8683,31334
5525,485
5159,13881
4699,22046
4723,33970
1317,35375
5130,12883
4433,2418
3830,1549
144,2448
916,31035
7992,29324
8844,23076
258,14383
9995,31854
1890,19447
6461,23030
7294,7660
3379,9689
671,15577
2302,30192
5809,6727
5588,497
2822,36078
4321,35018
9929,12265
6523,11544
2706,27925
2796,5653
3718,23955
6270,20023
3808,22855
3553,28883
3139,7806
2524,9390
7811,35282
1582,15520
2506,28484
4069,29333
6285,17986
7929,33506
6782,12743
6376,16997
7367,36716
4072,36910
7001,9464
226,31345
6531,11177
1626,15396
8766,13361
3545,17450
4943,25185
5438,7914
5468,14081
8446,23454
5838,16719
5817,9466
2393,29861
3079,463
8093,10751
1512,10279
9036,12000
4047,9689
91,9670
7831,31324
1537,32725
1625,19921
2920,34479
7299,34014
5417,9878
9019,13480
8033,24053
4371,8015
6791,33232
217,470
7344,12435
6041,981
7922,16069
8722,29876
9602,2466
2590,31323
6515,9401
8675,21937
1205,28271
3326,25346
3810,10323
778,981
6250,30420
8610,28378
1400,6618
969,17299
5996,29633
3823,8477
4822,33899
6390,15125
559,20389
1891,32795
2197,25361
3072,27849
8875,28062
591,21265
6506,23889
5642,26502
7890,31231
7354,11833
5203,11150
447,17231
1008,16843
2455,31442
8458,36094
9538,3560
6413,20692
4035,25451
7599,10708
4992,34958
4555,25790
1275,25172
1954,33613
2146,31726
2213,34124
7576,16204
836,34230
1472,31396
5287,6730
6300,25695
1648,25718
7591,29556
4135,31366
3894,34193
6192,25584
7497,8090
7501,12955
4855,24868
1754,24605
8255,13261
744,32585
4875,15778
4681,12234
5480,23285
5797,24724
8195,8479
4034,36058
4560,34116
4829,27991
4446,33097
8939,21597
5399,34024
9458,21039
7944,25272
1125,15289
3929,25193
3568,10348
3870,7507
5095,18293
8752,23143
9702,24981
8928,10326
2349,16131
1352,8157
7429,3361
3371,26624
1335,7570
6307,8612
1338,17737
5431,28792
1124,8079
1012,26420
2324,25659
2289,18784
1273,28475
9495,24692
2176,3471
9698,34177
3921,25306
3108,34183
7763,33639
8526,5405
6490,24864
6492,36830
1566,27415
8585,18605
5062,13106
1155,1021
709,30230
381,10249
8041,34077
2171,21692
4916,3872
4063,36055
4598,31278
2259,16657
6158,13490
1408,22945
2290,17065
9776,35129
370,12285
9386,9004
1788,31252
8071,30174
9058,34070
7335,10208
1656,15916
9307,26736
1090,6696
232,8844
4667,20397
9849,2013
8593,8137
1101,8100
4022,10812
5775,27248
4988,9025
4800,27533
4354,18309
4453,26543
8243,8950
4032,29464
842,13301
909,14960
1065,31185
9747,16094
9564,4395
4237,28360
1979,36404
7478,16298
2759,15878
8164,2016
1697,7487
5707,4824
7209,8811
1263,19619
4709,9663
6958,19457
2334,7064
5898,35385
8738,23214
4013,31710
5323,5306
7323,18189
8940,34803
4028,31751
4422,5209
5154,27143
5307,4984
4581,11541
5386,31831
7694,8119
2509,1956
4270,9345
5150,25287
9253,28261
9448,32255
5056,36581
8716,29056
705,28839
4303,1490
6921,19960
6861,10700
9505,32004
6551,4802
4345,30007
4791,24495
8179,13022
348,33112
7970,12099
2136,30149
6091,5281
4020,18503
8625,36488
9089,24523
3235,35593
7711,30072
8200,34722
2773,503
1164,4801
4134,16427
886,7704
3259,34695
8685,30493
7414,7996
459,21995
571,12472
589,9887
9940,30778
2586,26689
4364,9032
5791,29173
2083,27292
4602,30153
1199,8648
2202,32038
8088,5838
5572,31708
5422,2443
1331,36978
5999,29054
3017,20007
6176,16368
2686,23939
6403,19598
7218,6071
7905,22184
952,30367
978,27022
6673,20163
8623,27137
1262,36681
3664,33993
9537,15622
1809,9431
654,9474
2372,19622
691,28926
4926,15038
5058,2016
1088,16309
150,32976
2704,33783
956,15583
6294,25470
9944,30138
3521,21318
6853,30431
7119,16719
6466,27033
4114,492
1220,28359
1857,9831
3088,11330
77,30023
4823,3012
5532,35753
4254,11067
5061,27907
500,480
8047,17421
627,6856
6092,12375
9576,2477
2550,16853
4365,32450
8589,8498
2983,35282
2201,30282
9889,34562
1618,28085
1359,8398
9421,7138
2391,6233
4301,27410
1032,513
3462,17658
1485,14364
3064,23929
5199,35203
406,12820
8096,11487
618,6715
6577,21691
2104,25358
1803,35592
5420,2015
1694,33981
1767,19630
1246,24452
4153,18314
7303,24270
992,17648
315,8005
9551,19943
1569,31519
3344,36123
6449,28704
8588,29709
7146,17992
3315,980
1026,31171
3471,8882
2675,26891
3143,16451
5113,32205
439,27147
5963,461
9738,29286
1641,31127
8084,13684
4774,32213
6785,29248
2043,21100
6290,31449
3449,34014
