ntests,atleast,atmost,exactly
0,10000,56,56
1,9944,147,91
2,9853,247,100
3,9753,340,93
4,9660,432,92
5,9568,545,113
6,9455,633,88
7,9367,732,99
8,9268,834,102
9,9166,934,100
10,9066,1034,100
11,8966,1124,90
12,8876,1216,92
13,8784,1323,107
14,8677,1442,119
15,8558,1543,101
16,8457,1632,89
17,8368,1731,99
18,8269,1830,99
19,8170,1925,95
20,8075,2025,100
21,7975,2124,99
22,7876,2234,110
23,7766,2341,107
24,7659,2442,101
25,7558,2547,105
26,7453,2652,105
27,7348,2759,107
28,7241,2869,110
29,7131,2971,102
30,7029,3064,93
31,6936,3167,103
32,6833,3269,102
33,6731,3354,85
34,6646,3456,102
35,6544,3549,93
36,6451,3648,99
37,6352,3750,102
38,6250,3848,98
39,6152,3962,114
40,6038,4072,110
41,5928,4178,106
42,5822,4283,105
43,5717,4381,98
44,5619,4480,99
45,5520,4577,97
46,5423,4674,97
47,5326,4767,93
48,5233,4844,77
49,5156,4941,97
50,5059,5034,93
51,4966,5141,107
52,4859,5228,87
53,4772,5316,88
54,4684,5399,83
55,4601,5504,105
56,4496,5606,102
57,4394,5726,120
58,4274,5839,113
59,4161,5941,102
60,4059,6042,101
61,3958,6144,102
62,3856,6251,107
63,3749,6359,108
64,3641,6460,101
65,3540,6569,109
66,3431,6671,102
67,3329,6784,113
68,3216,6875,91
69,3125,6971,96
70,3029,7076,105
71,2924,7183,107
72,2817,7294,111
73,2706,7383,89
74,2617,7471,88
75,2529,7586,115
76,2414,7680,94
77,2320,7771,91
78,2229,7872,101
79,2128,7965,93
80,2035,8054,89
81,1946,8151,97
82,1849,8256,105
83,1744,8373,117
84,1627,8476,103
85,1524,8558,82
86,1442,8641,83
87,1359,8736,95
88,1264,8824,88
89,1176,8895,71
90,1105,8977,82
91,1023,9038,61
92,962,9129,91
93,871,9209,80
94,791,9275,66
95,725,9344,69
96,656,9414,70
97,586,9471,57
98,529,9540,69
99,460,9585,45
100,415,9626,41
101,374,9678,52
102,322,9717,39
103,283,9757,40
104,243,9787,30
105,213,9813,26
106,187,9835,22
107,165,9858,23
108,142,9878,20
109,122,9892,14
110,108,9904,12
111,96,9919,15
112,81,9935,16
113,65,9949,14
114,51,9958,9
115,42,9970,12
116,30,9973,3
117,27,9976,3
118,24,9981,5
119,19,9987,6
120,13,9989,2
121,11,9995,6
122,5,9997,2
123,3,9998,1
124,2,9998,0
125,2,9998,0
126,2,9999,1
127,1,9999,0
128,1,10000,1
